FAQ questions,FAQ answers,modifiert question,type change
Wie kann ich das Foto freischalten lassen?,"Die Freischaltung für Neukunden oder Kunden mit Kreditfunktion erfolgt am Kundeneingang im Markt. Hier wird ein Foto von Dir verifiziert oder gemacht und gespeichert und auf Deiner digitalen Karte hinterlegt. Zusätzlich wird Dein Ausweis geprüft. Falls Du nicht zu diesen Kundengruppen gehörst, kannst Du ganz einfach selbst ein Foto von Dir in die App laden.",wie kann ichh das fotoo freischalten laesen??,fehler
Wie kann ich eine Ersatzkarte beantragen?,Beantrage eine neue Ersatzkarte über unsere Kontaktmöglichkeiten:   Über das Kontaktformular  Per E-Mail: Kontakt@metro.de  Per Telefon: 0211 - 17607090 (Zum Ortstarif - Kosten für Anrufe aus dem Mobilfunknetz können abweichen),WIE KANN ICH EINE ersatz karre beantragen!?,fehler
Wie kann ich eine Ersatzkarte beantragen?,Beantrage eine neue Ersatzkarte über unsere Kontaktmöglichkeiten:   Über das Kontaktformular  Per E-Mail: Kontakt@metro.de  Per Telefon: 0211 - 17607090 (Zum Ortstarif - Kosten für Anrufe aus dem Mobilfunknetz können abweichen),wie kann ich ne ersatzkarte beantragrn??,fehler
Wie finde ich meinen Markt?,"Du kannst entweder Freitext in den Suchschlitz eintippen oder auf der Karte navigieren, um einen gewünschten Markt in ihrer Nähe zu finden und auszuwählen. ",wiiie findet ich meien marktt?!,fehler
Wie finde ich meinen Markt?,"Du kannst entweder Freitext in den Suchschlitz eintippen oder auf der Karte navigieren, um einen gewünschten Markt in ihrer Nähe zu finden und auszuwählen. ",wie kann ich finden mein Markt...?,fehler
Wo finde ich meine Rechnungen?,"Du kannst Deine Rechnungen ganz einfach über Dein digitales Profil einsehen: ➡ Zu Deinem Profil     Falls Du noch kein Profil hast, kannst Du Dich hier registrieren und Deine bestehende METRO Karte hinzufügen.     Nach dem Login klickst Du oben rechts auf Deinen Namen und wählst im Menü „Rechnungen“. Dort kannst Du auswählen, ob Du Rechnungen aus dem Marktplatz, aus Lieferungen oder aus dem Markt sehen möchtest.     Du kannst Deine Rechnungen auch über die METRO App abrufen oder per E-Mail erhalten. Um die digitale Zustellung zu aktivieren, gehe in der App auf „Mehr“ → „Einstellungen“ → „Rechnungen & Belege“ und aktiviere die Option.",WO FINNd ich meien rechnunGen..?!,fehler
Wo finde ich meine Rechnungen?,"Du kannst Deine Rechnungen ganz einfach über Dein digitales Profil einsehen: ➡ Zu Deinem Profil     Falls Du noch kein Profil hast, kannst Du Dich hier registrieren und Deine bestehende METRO Karte hinzufügen.     Nach dem Login klickst Du oben rechts auf Deinen Namen und wählst im Menü „Rechnungen“. Dort kannst Du auswählen, ob Du Rechnungen aus dem Marktplatz, aus Lieferungen oder aus dem Markt sehen möchtest.     Du kannst Deine Rechnungen auch über die METRO App abrufen oder per E-Mail erhalten. Um die digitale Zustellung zu aktivieren, gehe in der App auf „Mehr“ → „Einstellungen“ → „Rechnungen & Belege“ und aktiviere die Option.",wo kannich meine rechnungen finden :(,fehler
Wo ist der nächste Markt?,Hier kannst Du Deinen nächsten Markt finden. ,WO IST DER NÄCHSTEE MAAARKT??,fehler
Wo ist der nächste Markt?,Hier kannst Du Deinen nächsten Markt finden. ,wooo iss der nächst marktt??,fehler
Warum kann ich mich nicht in der App registrieren?,"Bitte überprüfe die eingegebenen Daten auf ihre Richtigkeit. Falls Du weiterhin Schwierigkeiten mit der Registrierung hast, sende uns bitte ein Fehlerprotokoll, damit wir Dir schnellstmöglich weiterhelfen können. Hierzu wähle bitte in der App den Menüpunkt ,,Mehr"" und klicke auf ,,Fehler berichten"".",wieso geht es nicht mich in APP anzumelden...?!,fehler
Warum kann ich mich nicht in der App registrieren?,"Bitte überprüfe die eingegebenen Daten auf ihre Richtigkeit. Falls Du weiterhin Schwierigkeiten mit der Registrierung hast, sende uns bitte ein Fehlerprotokoll, damit wir Dir schnellstmöglich weiterhelfen können. Hierzu wähle bitte in der App den Menüpunkt ,,Mehr"" und klicke auf ,,Fehler berichten"".",warum kann ich mich nicht bei euch in der app einloggen,fehler
Welche Einkaufsberechtigungen gibt es?,Folgende Einkaufsberechtigungen kannst Du als METRO Kunde ausstellen:       Dauerhafte digitale Vollmacht   Dauerhafte Papiervollmacht  Temporäre digitale Vollmacht   Einmalige Papiervollmacht       Ausführliche Informationen findest Du hier.,WELCHE einkaufsberetchtigung gibts es??!,fehler
Welche Einkaufsberechtigungen gibt es?,Folgende Einkaufsberechtigungen kannst Du als METRO Kunde ausstellen:       Dauerhafte digitale Vollmacht   Dauerhafte Papiervollmacht  Temporäre digitale Vollmacht   Einmalige Papiervollmacht       Ausführliche Informationen findest Du hier.,welch einkaufs Berichtigungen gibt es denn??,fehler
"Wie erhalte ich meine Abschlussrechnung von METRO, wenn die Laufzeit meines Pentagast-Subventionsvertrags beendet ist?","Nach Ablauf der Vertragslaufzeit erhältst Du Deine Abschlussrechnung per E-Mail. Darin siehst Du, ob Du Dein Umsatzziel erreicht hast – und falls nötig, ob eine Rückzahlung fällig ist.",Wie krieg ich meine Rechnung von Metro wenn mein Pentagast subventionsvertrag laufzeit beendet ist??!,fehler
"Wie erhalte ich meine Abschlussrechnung von METRO, wenn die Laufzeit meines Pentagast-Subventionsvertrags beendet ist?","Nach Ablauf der Vertragslaufzeit erhältst Du Deine Abschlussrechnung per E-Mail. Darin siehst Du, ob Du Dein Umsatzziel erreicht hast – und falls nötig, ob eine Rückzahlung fällig ist.",wie bekomme ich meine abschlussrechnung von metrro wenn die laufzeit meines pentaggast subventions wertrag zu ende is??,fehler
Kann ich mehrere METRO Karten in der App hinterlegen?,"Ja, Du kannst alle Deine Unternehmen mit einer digitalen Karte verknüpfen. Gehe dazu zunächst in den Navigationspunkt „Home“ und klicke dort oben links auf das Account-Icon. Nun kannst Du ein „Geschäftskonto hinzufügen“ oder wenn Du bereits mehrere Unternehmen hinzugefügt hast, ein anderes Konto auswählen.",Kann ich mehrre Metroo karten in de rApp hinte rlegen?,fehler
Kann ich mehrere METRO Karten in der App hinterlegen?,"Ja, Du kannst alle Deine Unternehmen mit einer digitalen Karte verknüpfen. Gehe dazu zunächst in den Navigationspunkt „Home“ und klicke dort oben links auf das Account-Icon. Nun kannst Du ein „Geschäftskonto hinzufügen“ oder wenn Du bereits mehrere Unternehmen hinzugefügt hast, ein anderes Konto auswählen.",kannn ich mehere METRO Kartten in der ap p hint erlegen?!,fehler
Wie wird mein METRO-Umsatz für die Pentagast-Subvention überprüft?,"Dein Umsatz wird automatisch von METRO überwacht. Dabei wird regelmäßig geprüft, wie viel bereits auf Dein Umsatzziel angerechnet wurde. Diese Infos kannst Du jederzeit beim Kundenmanagement erfragen oder direkt in Deiner METRO-App oder myMETRO unter „Kooperationsverträge“ einsehen. ",Wie wird mein metro umsatz für die pentagast subvention überpruft werden?!,fehler
Wie wird mein METRO-Umsatz für die Pentagast-Subvention überprüft?,"Dein Umsatz wird automatisch von METRO überwacht. Dabei wird regelmäßig geprüft, wie viel bereits auf Dein Umsatzziel angerechnet wurde. Diese Infos kannst Du jederzeit beim Kundenmanagement erfragen oder direkt in Deiner METRO-App oder myMETRO unter „Kooperationsverträge“ einsehen. ",wiie wirdd mein METRO-umsatz für dii penta Gast-Subvention überprüftt??,fehler
Kann ich die digitale Karte für den Kassiervorgang nutzen?,"Ja, an der Kasse wird die digitale Karte ebenso akzeptiert wie die Plastikkarte und verfügt über dieselben Funktionen, wie z.B. auch die Kreditzahlung, falls Du dafür freigeschaltet bist.",KAn ich die Digitale karte fuer den kasieervorgang benutzen ?,fehler
Kann ich die digitale Karte für den Kassiervorgang nutzen?,"Ja, an der Kasse wird die digitale Karte ebenso akzeptiert wie die Plastikkarte und verfügt über dieselben Funktionen, wie z.B. auch die Kreditzahlung, falls Du dafür freigeschaltet bist.",kannn ich die digitale karte fuer kasievorgang nutzen...?,fehler
Welche Vorteile bietet ein myMETRO Kundenkonto?,Folgende Vorteile bietet Dir Dein myMETRO Kundenkonto:    Geschäftliche und Private Einkäufe in einem Kundenkonto verwalten  Mehrere Unternehmen koordinieren  Rechnungen digital einsehen  Einkaufvollmachten ausstellen  Unkomplizierte Teamorganisation  Überblick über Deine Einkaufshistorie online und im Markt   Weitere Informationen findest Du hier.,welch vordteil bietet ein mein metro kundenkonto?!,fehler
Welche Vorteile bietet ein myMETRO Kundenkonto?,Folgende Vorteile bietet Dir Dein myMETRO Kundenkonto:    Geschäftliche und Private Einkäufe in einem Kundenkonto verwalten  Mehrere Unternehmen koordinieren  Rechnungen digital einsehen  Einkaufvollmachten ausstellen  Unkomplizierte Teamorganisation  Überblick über Deine Einkaufshistorie online und im Markt   Weitere Informationen findest Du hier.,Welchee Vorteil bietet ein my METRO kunden konto??,fehler
Warum sollte ich mich für myMETRO registrieren?,"Du kannst wichtige Informationen jederzeit selber pflegen, sowie Dein Passwort selbst zurücksetzen. Zudem benötigst Du nur noch eine Nutzerkennung für alle METRO Online-Systeme. Darüber hinaus bieten wir Gewerbetreibenden und Gastronomen viele wertvolle Services, die erst nach erfolgter Registrierung und Anmeldung zugänglich sind. ",wieso soll ich mich bei my Metro eintragen??,fehler
Warum sollte ich mich für myMETRO registrieren?,"Du kannst wichtige Informationen jederzeit selber pflegen, sowie Dein Passwort selbst zurücksetzen. Zudem benötigst Du nur noch eine Nutzerkennung für alle METRO Online-Systeme. Darüber hinaus bieten wir Gewerbetreibenden und Gastronomen viele wertvolle Services, die erst nach erfolgter Registrierung und Anmeldung zugänglich sind. ",warum sollt ich mich für myMetrO einloggen...?,fehler
Wie kann ich mein Passwort ändern?,"Nachdem Du Dich angemeldet hast, klicke oben rechts auf Deinen Namen und dann auf Login & Sicherheit.  Dort kannst Du Dein Passwort ändern. Dazu klicke bitte auf ""Passwort"" und gib dort Dein aktuelles Passwort, sowie in der Zeile darunter Dein neues Passwort ein. Danach bestätige Deine Eingabe bitte mit ""Speichern"".",WIE KANN ICH MEIN PASSWORT ÄNDREN!!!!!,fehler
Wie kann ich mein Passwort ändern?,"Nachdem Du Dich angemeldet hast, klicke oben rechts auf Deinen Namen und dann auf Login & Sicherheit.  Dort kannst Du Dein Passwort ändern. Dazu klicke bitte auf ""Passwort"" und gib dort Dein aktuelles Passwort, sowie in der Zeile darunter Dein neues Passwort ein. Danach bestätige Deine Eingabe bitte mit ""Speichern"".",wie kannn ich mein passwort ändern..??,fehler
Welche Services gibt es im METRO Markt?,Folgende Services bieten wir in unseren Märkten für Dich an:    Serviceverpackungen für die Gastronomie   Weinhumidore für den besonderen Geschmack   Bestickservice für individuelle Berufsbekleidung  Individueller Sekt für Deine Gäste   Wunschpasta für besondere Kreationen    Die Services können je nach Markt abweichen.   Ausführliche Informationen findest Du hier.,welsche service's gibts im metroo marktt?!,fehler
Welche Services gibt es im METRO Markt?,Folgende Services bieten wir in unseren Märkten für Dich an:    Serviceverpackungen für die Gastronomie   Weinhumidore für den besonderen Geschmack   Bestickservice für individuelle Berufsbekleidung  Individueller Sekt für Deine Gäste   Wunschpasta für besondere Kreationen    Die Services können je nach Markt abweichen.   Ausführliche Informationen findest Du hier.,Welche servise gibt es im metro markt !!!,fehler
Warum muss ich ein Foto hinterlegen und freischalten lassen?,"Die digitale Karte bei METRO unterscheidet sich von Plastikkarten anderer Anbieter. Als Großhandels-B2B-Unternehmen sind wir verpflichtet, die Identität zu überprüfen. Dies findet beim Kassenvorgang statt. Für alle Kunden mit Kredit-Funktion muss dieses Bild aus Sicherheitsgründen vorab geprüft und freigeschaltet werden. Es handelt sich dabei auch um eine Sicherheitsmaßnahme, die dazu dient, den Missbrauch der Karte und der hinterlegten Funktionen zu vermeiden und Dich als Kunde zu schützen.",waru muss ichn foto hinlegen und frei schalten lasen?!,fehler
Warum muss ich ein Foto hinterlegen und freischalten lassen?,"Die digitale Karte bei METRO unterscheidet sich von Plastikkarten anderer Anbieter. Als Großhandels-B2B-Unternehmen sind wir verpflichtet, die Identität zu überprüfen. Dies findet beim Kassenvorgang statt. Für alle Kunden mit Kredit-Funktion muss dieses Bild aus Sicherheitsgründen vorab geprüft und freigeschaltet werden. Es handelt sich dabei auch um eine Sicherheitsmaßnahme, die dazu dient, den Missbrauch der Karte und der hinterlegten Funktionen zu vermeiden und Dich als Kunde zu schützen.",warum muss ich ein foto hinter legen.. und freischalten lassen?,fehler
Kann ich auch andere Karten-Apps nutzen wie Sto-Card oder Google Pay?,"Es gibt fremde App-Anbieter, die eine Karten-Upload-Funktion in Deinen Apps anbieten. Diese Karten-Apps sind zwar praktisch, dürfen bei METRO jedoch nicht akzeptiert werden, da in diesen Apps keine Fotoprüfung stattfinden kann. Als Großhändler sind wir verpflichtet, die Identität unserer Kunden mit Lichtbild zu überprüfen. Daher sind nur die METRO App (METRO Companion) sowie die Plastikkarte beim Bezahlvorgang erlaubt.",KAn ich auch ndere kartn-Appps nützen.. wie sto-kard oder Goolge Pay?,fehler
Kann ich auch andere Karten-Apps nutzen wie Sto-Card oder Google Pay?,"Es gibt fremde App-Anbieter, die eine Karten-Upload-Funktion in Deinen Apps anbieten. Diese Karten-Apps sind zwar praktisch, dürfen bei METRO jedoch nicht akzeptiert werden, da in diesen Apps keine Fotoprüfung stattfinden kann. Als Großhändler sind wir verpflichtet, die Identität unserer Kunden mit Lichtbild zu überprüfen. Daher sind nur die METRO App (METRO Companion) sowie die Plastikkarte beim Bezahlvorgang erlaubt.",kann ich auhc andere karten apss nutzen : Stocard oder google Pay?!,fehler
Kann ich eine einmalige Bestellung liefern lassen?,"Unser Lieferservice ist nicht für Einzelbestellungen gedacht.  Falls Du noch kein Lieferkunde bist, kannst Du Dich hier registrieren.",KANN ich ein BESTELLIG liefern laasen??,fehler
Kann ich eine einmalige Bestellung liefern lassen?,"Unser Lieferservice ist nicht für Einzelbestellungen gedacht.  Falls Du noch kein Lieferkunde bist, kannst Du Dich hier registrieren.",kann ich ein bestehlung einamlieg liefern lasen??,fehler
"Was tue ich, wenn bei der Anmeldung (Login) Schwierigkeiten auftreten?","Bitte überprüfe nochmals Deine Eingaben. Bei Problemen bei der Anmeldung kannst Du gegebenenfalls selbst Dein Passwort zurücksetzen oder Dir Deinen Benutzernamen erneut zusenden lassen.  Sollte die Anmeldung dennoch nicht gelingen, wende Dich über das Kontaktformular, per Mail oder telefonisch an unseren Kundensupport.",Waaaas mache ich wenns beim einloggen nicht geht?!,fehler
"Was tue ich, wenn bei der Anmeldung (Login) Schwierigkeiten auftreten?","Bitte überprüfe nochmals Deine Eingaben. Bei Problemen bei der Anmeldung kannst Du gegebenenfalls selbst Dein Passwort zurücksetzen oder Dir Deinen Benutzernamen erneut zusenden lassen.  Sollte die Anmeldung dennoch nicht gelingen, wende Dich über das Kontaktformular, per Mail oder telefonisch an unseren Kundensupport.",was soll ich tuhn wenn ich mich nicht anmelden kann...,fehler
